model,module,cos_to_joint,rel_l2_to_joint,delta_norm,joint_delta_norm
mean4_iter0,q_einsum,0.293260046312,0.976371223291,25.700193900101,52.288463157770
mean4_iter0,kv_einsum,0.411263827709,0.919158060833,12.774494757865,24.123714790522
mean4_iter0,attn_vec_einsum,0.366786966425,0.940641345061,24.583658099256,48.598610594156
mean4_iter0,gating_einsum,0.149405724176,1.028930497404,82.261331150261,189.522186670464
mean4_iter0,linear,0.167367786564,1.021231942929,57.729977219184,133.113959686390
mean4_iter100,q_einsum,0.283488326929,0.997278295639,29.136234901125,52.288463157770
mean4_iter100,kv_einsum,0.398190029045,0.942689602264,14.847889011989,24.123714790522
mean4_iter100,attn_vec_einsum,0.353158790461,0.971157350701,29.823662409240,48.598610594156
mean4_iter100,gating_einsum,0.149144404363,1.067080001752,104.288855587166,189.522186670464
mean4_iter100,linear,0.160255359877,1.042816422689,66.108380512450,133.113959686390
ft_from_500,q_einsum,0.264000518075,1.703867474621,87.247802585791,52.288463157770
ft_from_500,kv_einsum,0.368613998164,1.644813312156,41.626780933159,24.123714790522
ft_from_500,attn_vec_einsum,0.324742214365,1.692431896577,83.989667958595,48.598610594156
ft_from_500,gating_einsum,0.135347388550,1.861655937129,324.356682307391,189.522186670464
ft_from_500,linear,0.145365240806,1.694858020494,202.529401892467,133.113959686390
ft_from_1k,q_einsum,0.228516753348,1.639484827644,80.924594456908,52.288463157770
ft_from_1k,kv_einsum,0.318147733005,1.578853569473,38.131958032336,24.123714790522
ft_from_1k,attn_vec_einsum,0.279054909308,1.678768962981,80.482106599629,48.598610594156
ft_from_1k,gating_einsum,0.126819254617,1.893187038719,329.644526974439,189.522186670464
ft_from_1k,linear,0.123194193850,1.657013339587,193.038133081283,133.113959686390
